Nationality,Total,Percentage,UK Nationals,Region,Total in UK
UK-Born British,73711,89,Yes,UK-born,58946000
Foreign Nationals,9318,11,Yes,UK-born,58946000
Unknown Nationality,234,0,Yes,UK-born,58946000
Africa,1680,18,No,Non-EU and Non-Asia,965000
Asia,1306,14,No,Asia,1254000
"C, S America",145,2,No,Non-EU and Non-Asia,965000
EEA European,4030,43,No,EEA European,3813000
Non-EEA European,976,10,No,Non-EU and Non-Asia,965000
Middle East,460,5,No,Asia,1254000
North America,65,1,No,Non-EU and Non-Asia,965000
Oceania,24,0,No,Non-EU and Non-Asia,965000
West Indies,632,7,No,Asia,1254000
